Artist,Song
"Incubus, Friends and Lovers"
"The Killers, When You Were Young"
"Rick Astley, Never Gonna Give You Up"
"Avril Lavigne, Sippin On Sunshine"
"Queen, Dont Stop Me Now - Remastered 2011"
"Tim McGraw, My Little Girl"
"David Morris, Carrying Your Love"
"David Guetta, Bebe Rexha, Im Good (Blue)"
"Santana, Rob Thomas, Smooth (feat. Rob Thomas)"
"Lauv, I Like Me Better"
"DVBBS, Shaun Frank, Delaney Jane, LA LA LAND"
"Blue Swede, Björn Skifs, Hooked On A Feeling"
"Tom Jones, Shes A Lady"
"Commodores, Brick House"
"Daryl Hall & John Oates, You Make My Dreams (Come True)"
"The Chainsmokers, Coldplay, Something Just Like This"
"Dua Lipa, Blow Your Mind (Mwah)"
"Backstreet Boys, As Long as You Love Me"
"Daft Punk, Around the World"
"Bruno Mars, Marry You"
"Luis Miguel, Somos Novios"
"Alessia Cara, Im Yours"
"Cascada, Everytime We Touch"
"Paramore, Still into You"
"Counting Crows, Accidentally In Love"
"Smash Mouth, Im A Believer - Sound Version"
"Kyle Hume, Distance"
"Kyle Hume, u & me"
"The Tango Project, Por Una Cabeza"
"El Gran Combo De Puerto Rico, Brujeria"
"Dawin, Dessert"
"Andrea Bocelli, Bésame Mucho"
"Luther Vandross, Never Too Much"
"Uncle Kracker, Smile"
"Brad Paisley, Ticks"
"Rednex, Cotton Eye Joe"
"WALK THE MOON, Shut Up and Dance"
"Chris Brown, Forever"
"Selena Gomez & The Scene, Love You Like A Love Song"
"Whitney Houston, I Wanna Dance with Somebody (Who Loves Me)"
"Lady Gaga, Colby ODonis, Just Dance"
"Beyoncé, JAY-Z, Crazy In Love (feat. Jay-Z)"
"American Authors, Best Day Of My Life"
"The Weeknd, Cant Feel My Face"
"Rihanna, Calvin Harris, We Found Love"
"Calvin Harris, Ellie Goulding, I Need Your Love (feat. Ellie Goulding)"
"Black Eyed Peas, I Gotta Feeling"
"P!nk, TRUSTFALL"
"P!nk, Raise Your Glass"
"Backstreet Boys, Everybody (Backstreets Back) - Radio Edit"
"Sir Mix-A-Lot, Baby Got Back"
"The Drifters, This Magic Moment"
"Bryan Adams, (Everything I Do) I Do It For You"
"The Kid LAROI, Justin Bieber, STAY (with Justin Bieber)"
"Lizzo, About Damn Time"
"Johann Pachelbel, Stringspace, Canon in D Major (String Quartet)"
"Jack Black, Peaches"
"Queen, Another One Bites The Dust"
"Toby Keith, Red Solo Cup"
"John Legend, All of Me"
"Michael Bublé, Feeling Good"
"Etta James, At Last"
"Bruno Mars, Just the Way You Are"
"Theory of a Deadman, Easy to Love You"
"Ruelle, I Get to Love You"
"The Doobie Brothers, Dependin on You"
